timestamp,x_est,y_est,yaw_world_deg,state
1779920792.665,0.0180,0.0000,0.04,NAVIGATE_EXTERNAL
1779920792.766,0.0360,0.0000,0.01,NAVIGATE_EXTERNAL
1779920792.868,0.0540,-0.0002,-1.04,NAVIGATE_EXTERNAL
1779920792.964,0.0720,-0.0006,-1.06,NAVIGATE_EXTERNAL
1779920793.067,0.0900,-0.0001,1.79,NAVIGATE_EXTERNAL
1779920793.169,0.1080,0.0005,1.03,NAVIGATE_EXTERNAL
1779920793.265,0.1260,-0.0003,-2.48,NAVIGATE_EXTERNAL
1779920793.367,0.1439,-0.0013,-3.08,NAVIGATE_EXTERNAL
1779920793.469,0.1619,-0.0017,-1.28,NAVIGATE_EXTERNAL
1779920793.566,0.1799,-0.0024,-2.40,NAVIGATE_EXTERNAL
1779920793.667,0.1979,-0.0037,-4.02,NAVIGATE_EXTERNAL
1779920793.769,0.2159,-0.0042,-1.63,NAVIGATE_EXTERNAL
1779920793.866,0.2339,-0.0046,-1.61,NAVIGATE_EXTERNAL
1779920793.967,0.2518,-0.0058,-4.23,NAVIGATE_EXTERNAL
1779920794.069,0.2698,-0.0068,-2.34,NAVIGATE_EXTERNAL
1779920794.171,0.2878,-0.0067,0.15,NAVIGATE_EXTERNAL
1779920794.267,0.3058,-0.0071,-1.88,NAVIGATE_EXTERNAL
1779920794.369,0.3237,-0.0083,-3.85,NAVIGATE_EXTERNAL
1779920794.471,0.3417,-0.0084,0.07,NAVIGATE_EXTERNAL
1779920794.567,0.3597,-0.0083,0.35,NAVIGATE_EXTERNAL
1779920794.669,0.3777,-0.0091,-2.85,NAVIGATE_EXTERNAL
1779920794.771,0.3957,-0.0098,-1.28,NAVIGATE_EXTERNAL
1779920794.867,0.4137,-0.0098,-0.13,NAVIGATE_EXTERNAL
1779920794.969,0.4317,-0.0102,-2.01,NAVIGATE_EXTERNAL
1779920795.070,0.4497,-0.0114,-3.78,NAVIGATE_EXTERNAL
1779920795.168,0.4677,-0.0118,-0.39,NAVIGATE_EXTERNAL
1779920795.268,0.4857,-0.0117,-0.07,NAVIGATE_EXTERNAL
1779920795.370,0.5036,-0.0126,-3.21,NAVIGATE_EXTERNAL
1779920795.473,0.5216,-0.0136,-2.92,NAVIGATE_EXTERNAL
1779920795.568,0.5396,-0.0138,-0.62,NAVIGATE_EXTERNAL
1779920795.671,0.5576,-0.0147,-2.66,NAVIGATE_EXTERNAL
